productId;title;genres
236;fosfato monoamonico;
237;fosfato monoamonico tco;
238;fosfato monobasico de potasio;
239;fosfato monobasico sodio 2 hidratos;
240;fosfato monopotasico;
241;fosfato monosodico;
242;fosfato monosodico anhidro;
243;fosfato monosodico dihidrato;
244;fosfato monosodico monohidrato;
245;fosfato potasico monohidrato;
246;fosfato triamonico;
247;fosfato tribasico de sodio;
248;fosfato tricaleico usp;
249;fosfato tripotasico;
250;fosfato tripotasico monohidrato;
251;fosfato trisodico anhidro;
252;fosfato trisodico decahidratado;
253;gelatina base;
254;glicina(glicocola)p.a.;
255;gluconato de calcio;
256;glucosa anhidra usp;
257;glucosa anhnidra p.a.;
258;goma arabiga;
259;goma guar;
260;goma laca en polvo;
261;goma tragaconto;
262;goma xanthom;
263;hidrato de cloral;
264;hidroquinoleina;
265;hidrosulfito de sodio anhidro;
266;hidrosulfito de sodio en polvo;
267;hidroxicarbonato de zinc;
268;hidroxido de aluminio;
269;hidroxido de bario;
270;hidroxido de cadmio;
271;hidroxido de calcio;
272;hidroxido de cobre;
273;hidroxido de potasio;
274;hidroxiquinoleina;
275;hierro en limaduras;
276;hierro en pòlvo;
277;hiflosuper cel  p.a.;
278;hipofosfito de manganeso;
279;lactato de amonio;
280;lactato de calcio;
281;lactosa;
282;lanolina anhidra;
283;lauril;
284;lauril sulfato de sodio 96 %;
285;magnesio en cinta;
286;magnesio en virutas;
287;magnesio metalico en lentejas;
288;manitol;
289;mentol usp;
290;metabisulfito de potasio;
291;metanoato de sodio;
292;metaperiadato de potasio;
293;metasulfito de sodio;
294;metilparabeno ;
295;molibdato de amonio;
296;molibdato de potasio;
297;molibdato de sodio;
298;monoclohidrato d-l-histidina;
299;nitrato de amonio;
300;nitrato de bario;
301;nitrato de bismuto;
302;nitrato de cobre;
303;nitrato de cadmio;
304;nitrato de calcio;
305;nitrato de cobalto;
306;nitrato de estroncio;
307;nitrato de litio;
308;nitrato de magnesio;
309;nitrato de mercurioso;
310;nitrato de niquel hexahidrato;
311;nitrato de plomo;
312;nitrato de potasio;
313;nitrato de sodio;
314;nitrato de plata;
315;nitrato de zinc;
316;nipagin;
317;nipasol;
318;naptalina;
